"papel","cotacao","P/L","P/VP","PSR","div.yield","P/ativo","P/cap.giro","P/EBIT","P/ativ_circ.liq","EV/EBIT","EV/EBITDA","mrg_ebit","mrg.Liq","liq.corr","ROIC","ROE","liq.2meses","patrim.liq","div.brut/patrim","cresc.rec.5a","data"
"SUZB5",21.13,-1.62,11.54,1.005,0,0.265,3.61,5.83,-0.34,19.63,8.95,0.1724,-0.6203,1.57,0.0526,-7.1328,0,2491440000,32.36,0.3046,"2020-10-26T16:09:53.719Z"
"ARLA3",2.47,-1.62,-0.45,1.562,0,0.323,-0.22,-4.92,-0.21,-16.06,-16.06,-0.3172,-0.9655,0.1,-0.1371,0.28,0,-24319000,-1.02,-0.4746,"2020-10-26T16:09:53.719Z"
"GOLL4",18.96,-1.62,-0.52,0.612,0,0.457,-0.8,8.98,-0.29,21.08,5.91,0.0682,-0.3624,0.32,0.0659,0.3211,208796000,-13002600000,-0.84,0.043899999999999995,"2020-10-26T16:09:53.719Z"
"SPRI3",10.51,-1.61,1.19,0,0,1.143,0,-3.07,0,-2.72,-2.74,0,0,0,0,-0.7382,879.51,22420000,0,-0.0733,"2020-10-26T16:09:53.719Z"
"SDIA3",6.42,-1.59,9.41,0.397,0,0.418,-3.29,9.53,-0.83,23.15,23.15,0.0416,-0.2509,0.78,0.058899999999999994,-5.9066,0,459230000,17.27,0.13419999999999999,"2020-10-26T16:09:53.719Z"
"SDIA4",6.42,-1.59,9.41,0.397,0,0.418,-3.29,9.53,-0.83,23.15,23.15,0.0416,-0.2509,0.78,0.058899999999999994,-5.9066,0,459230000,17.27,0.13419999999999999,"2020-10-26T16:09:53.719Z"
"DUQE3",28,-1.58,-11.29,12.103,0,0.428,-0.74,-1.65,-0.57,-2.7,-2.98,-7.329199999999999,-7.676,0.33,-0.2821,7.1574,0,-6987000,-7.19,-0.42700000000000005,"2020-10-26T16:09:53.719Z"
"BRKM6",18.86,-1.45,-4.45,0.302,0,0.178,1.52,9.2,-0.26,27.5,8.2,0.032799999999999996,-0.218,1.46,0.027999999999999997,3.0676,138.46,-3380230000,-14.09,0.0192,"2020-10-26T16:09:53.719Z"
"CTNM3",11.21,-1.41,0.4,0.198,0,0.081,3.09,-11.38,-0.29,-54.46,25.87,-0.0174,-0.24170000000000003,1.08,-0.0079,-0.28190000000000004,10896.9,862529000,1.79,-0.1344,"2020-10-26T16:09:53.719Z"
"MNPR4",4.63,-1.37,-0.09,0.137,0,0.144,-0.08,0.65,-0.06,0.6,0.53,0.209,-0.09970000000000001,0.19,0.2335,0.0638,0,-375829000,0,0.0381,"2020-10-26T16:09:53.719Z"
"SUZB6",17.88,-1.37,9.77,0.85,0,0.224,3.05,4.93,-0.29,18.73,8.54,0.1724,-0.6203,1.57,0.0526,-7.1328,0,2491440000,32.36,0.3046,"2020-10-26T16:09:53.719Z"
"SPRI5",8.52,-1.3,0.96,0,0,0.927,0,-2.49,0,-2.14,-2.15,0,0,0,0,-0.7382,145.29,22420000,0,-0.0733,"2020-10-26T16:09:53.719Z"
"EMBR3",6.88,-1.23,0.32,0.454,0,0.09,0.3,29.15,-0.74,85.56,9.5,0.015600000000000001,-0.3661,2.07,0.0042,-0.2625,94444800,15779800000,1.32,-0.1573,"2020-10-26T16:09:53.719Z"
"CEDO4",7.41,-1.22,0.55,0.122,0,0.112,-1.73,7.2,-0.28,26.74,9.28,0.017,-0.1082,0.85,0.019,-0.4561,150318,133686000,1.75,0.0968,"2020-10-26T16:09:53.719Z"
"PMET6",0.2,-1.21,-0.05,1.39,0,9.307,-0.07,27.69,-0.05,441.57,441.57,0.050199999999999995,-1.1449,0.01,0.3897,0.040999999999999995,0,-290863000,-0.74,0.3774,"2020-10-26T16:09:53.719Z"
"MGEL3",25,-1.2,-0.3,0.284,0,0.348,1.3,3.6,-0.21,21.53,14.67,0.079,-0.2564,1.97,0.1346,0.24760000000000001,0,-486228000,-1.65,0.054900000000000004,"2020-10-26T16:09:53.719Z"
